Address,District,Beds,Baths,Longitudes,Latitudes,Price,Size,Website,Distance,Type
5562 Hobart Street near Wightman Street,Squirrel Hill,1,1,-79.928563,40.432224,1175,924,https://pittsburgh.craigslist.org/apa/d/pittsburgh-sun-parlor-ac-heat-incld-pet/7028631570.html,1.692881324,Apartment
5562 Hobart Street near Wightman Street,Squirrel Hill,1,1,-79.928573,40.432102,1070,716,https://pittsburgh.craigslist.org/apa/d/pittsburgh-available-january-4-schenley/7028632081.html,1.692079729,Apartment
2715 Murray Avenue near Forward Avenue,Squirrel Hill,1,1,-79.924325,40.428574,1000,770,https://pittsburgh.craigslist.org/apa/d/pittsburgh-available-january-4-pet/7028632614.html,2.171348229,Apartment
5562 Hobart Street near Wightman Street,Squirrel Hill,1,1,-79.928659,40.432355,1140,852,https://pittsburgh.craigslist.org/apa/d/pittsburgh-available-march-1-sun-parlor/7028633428.html,1.681923588,Apartment
5562 Hobart Street near Wightman Street,Squirrel Hill,1,1,-79.928659,40.4322,1195,844,https://pittsburgh.craigslist.org/apa/d/pittsburgh-short-term-lease-available/7028633911.html,1.682310435,Apartment
5562 Hobart Street near Wightman Street,Squirrel Hill,1,1,-79.928541,40.432208,1175,924,https://pittsburgh.craigslist.org/apa/d/pittsburgh-available-january-4-hardwood/7028634328.html,1.695357625,Apartment
2715 Murray Avenue near Forward Avenue,Squirrel Hill,1,1,-79.924636,40.428117,930,660,https://pittsburgh.craigslist.org/apa/d/pittsburgh-heat-included-ac-hardwood/7021257325.html,2.138150377,Apartment
2715 Murray Avenue near Forward Avenue,Squirrel Hill,1,1,-79.924486,40.428411,890,385,https://pittsburgh.craigslist.org/apa/d/pittsburgh-heat-included-avail-january/7026713635.html,2.15395731,Apartment
2715 Murray Avenue near Forward Avenue,Squirrel Hill,1,1,-79.924647,40.428108,970,570,https://pittsburgh.craigslist.org/apa/d/pittsburgh-short-term-lease-heat/7026763463.html,2.136958336,Apartment
5562 Hobart Street near Wightman Street,Squirrel Hill,2,1,-79.928563,40.432371,1535,1082,https://pittsburgh.craigslist.org/apa/d/pittsburgh-available-february-1-sun/7028623731.html,1.692517395,Apartment
5855 Darlington Road,Squirrel Hill,1,1,-79.920679,40.437068,825,400,https://pittsburgh.craigslist.org/apa/d/pittsburgh-apartment-for-rent/7019478952.html,2.562237493,Apartment
5855 Darlington Road,Squirrel Hill,1,1,-79.920679,40.437068,925,500,https://pittsburgh.craigslist.org/apa/d/pittsburgh-laundry-on-site-walk-to-bus/7014749010.html,2.562237493,Apartment
5855 Darlington Road,Squirrel Hill,1,1,-79.920679,40.437068,825,400,https://pittsburgh.craigslist.org/apa/d/pittsburgh-decorative-fireplace-close/7015441969.html,2.562237493,Apartment
5855 Darlington Road,Squirrel Hill,1,1,-79.920679,40.437068,925,500,https://pittsburgh.craigslist.org/apa/d/pittsburgh-walk-to-shops-close-to-park/7016755003.html,2.562237493,Apartment
5855 Darlington Road,Squirrel Hill,1,1,-79.920679,40.437068,925,500,https://pittsburgh.craigslist.org/apa/d/pittsburgh-decorative-fireplace-laundry/7014330372.html,2.562237493,Apartment
2325 - 2327 Eldridge Street - 6,Squirrel Hill,1,1,-79.9205,40.4308,1045,447,https://pittsburgh.craigslist.org/apa/d/pittsburgh-decorative-fireplace/7014275611.html,2.59085383,Apartment
2123 Shady Ave - A8,Squirrel Hill,1,1,-79.918428,40.434289,895,430,https://pittsburgh.craigslist.org/apa/d/pittsburgh-new-light-fixtures-pet/7025987653.html,2.816193996,Apartment
2123 Shady Ave - A8,Squirrel Hill,1,1,-79.918428,40.434289,895,430,https://pittsburgh.craigslist.org/apa/d/pittsburgh-designer-paint-colors/7031723978.html,2.816193996,Apartment
Hobart St near Murray Ave,Squirrel Hill,2,1,-79.925151,40.432788,1385,800,https://pittsburgh.craigslist.org/apa/d/pittsburgh-available-br-1ba-on-bus-line/7020169440.html,2.070199774,Apartment
5855 Darlington Road,Squirrel Hill,1,1,-79.920679,40.437068,925,500,https://pittsburgh.craigslist.org/apa/d/pittsburgh-exposed-stone-wall-close-to/7028017344.html,2.562237493,Apartment
"5860 Forward Ave, Apt 4",Squirrel Hill,1,1,-79.921706,40.429427,1025,1400,https://pittsburgh.craigslist.org/apa/d/pittsburgh-bright-spacious-1-br-1ba/7014319597.html,2.45962975,Apartment
Forward Avenue near murray ave,Squirrel Hill,1,1,-79.928198,40.425585,780,350,https://pittsburgh.craigslist.org/apa/d/pittsburgh-great-studio-apartment-cat/7031615069.html,1.754187781,Apartment
5562 Hobart Street near Wightman Street,Squirrel Hill,1,1,-79.928563,40.4322,1175,924,https://pittsburgh.craigslist.org/apa/d/pittsburgh-sun-parlor-available/7024559429.html,1.692941195,Apartment
5562 Hobart Street near Wightman Street,Squirrel Hill,1,1,-79.928627,40.432086,1090,742,https://pittsburgh.craigslist.org/apa/d/pittsburgh-available-february-1/7024560015.html,1.686141227,Apartment
2715 Murray Avenue near Forward Avenue,Squirrel Hill,1,1,-79.92425,40.428623,1075,770,https://pittsburgh.craigslist.org/apa/d/pittsburgh-available-april-1-shopping/7020565998.html,2.179523461,Apartment
2715 Murray Avenue near Forward Avenue,Squirrel Hill,1,1,-79.924272,40.428551,1055,645,https://pittsburgh.craigslist.org/apa/d/pittsburgh-short-term-lease-ac-heat/7022586483.html,2.177273652,Apartment
2715 Murray Avenue near Forward Avenue,Squirrel Hill,1,1,-79.924293,40.428582,1075,770,https://pittsburgh.craigslist.org/apa/d/pittsburgh-available-now-or-january-4/7022587163.html,2.174869358,Apartment
2715 Murray Avenue near Forward Avenue,Squirrel Hill,1,1,-79.924604,40.428157,1075,770,https://pittsburgh.craigslist.org/apa/d/pittsburgh-available-april-1-shopping/7029571133.html,2.141581201,Apartment
2715 Murray Avenue near Forward Avenue,Squirrel Hill,1,1,-79.924201,40.428542,1075,770,https://pittsburgh.craigslist.org/apa/d/pittsburgh-available-jan-4-ac-hardwood/7012915683.html,2.185155394,Apartment
5533 Covode Street near Yeshiva Way,Squirrel Hill,1,1,-79.928648,40.431881,1015,595,https://pittsburgh.craigslist.org/apa/d/pittsburgh-available-january-4-schenley/7018741517.html,1.684340884,Apartment
5562 Hobart Street near Wightman Street,Squirrel Hill,1,1,-79.92867,40.432339,1140,852,https://pittsburgh.craigslist.org/apa/d/pittsburgh-available-march-1-sun-parlor/7024425353.html,1.680744985,Apartment
2715 Murray Avenue near Forward Avenue,Squirrel Hill,1,1,-79.92425,40.428623,1065,770,https://pittsburgh.craigslist.org/apa/d/pittsburgh-available-february-1/7024426614.html,2.179523461,Apartment
5537 Covode Street near Yeshiva Way,Squirrel Hill,1,1,-79.928734,40.431865,910,720,https://pittsburgh.craigslist.org/apa/d/pittsburgh-avail-now-or-jan-4-shopping/7028185412.html,1.674864527,Apartment
5562 Hobart Street near Wightman Street,Squirrel Hill,1,1,-79.928155,40.432135,1165,874,https://pittsburgh.craigslist.org/apa/d/pittsburgh-schenley-park-available/7018574136.html,1.738292624,Apartment
2715 Murray Avenue near Forward Avenue,Squirrel Hill,1,1,-79.924625,40.42828,1075,770,https://pittsburgh.craigslist.org/apa/d/pittsburgh-available-february-1/7024381422.html,2.138928351,Apartment
5562 Hobart Street near Wightman Street,Squirrel Hill,1,1,-79.928541,40.432118,1070,716,https://pittsburgh.craigslist.org/apa/d/pittsburgh-available-february-1/7024424724.html,1.695582795,Apartment
5562 Hobart Street near Wightman Street,Squirrel Hill,1,1,-79.928563,40.431979,1110,714,https://pittsburgh.craigslist.org/apa/d/pittsburgh-heat-included-schenley-park/7024425957.html,1.693498498,Apartment
5562 Hobart Street near Wightman Street,Squirrel Hill,1,1,-79.92867,40.432347,1140,852,https://pittsburgh.craigslist.org/apa/d/pittsburgh-available-january-4-shopping/7018573598.html,1.680725121,Apartment
5562 Hobart Street near Wightman Street,Squirrel Hill,1,1,-79.928627,40.432216,1195,844,https://pittsburgh.craigslist.org/apa/d/pittsburgh-avail-now-or-jan-4-sun/7026238362.html,1.685813801,Apartment
2715 Murray Avenue near Forward Avenue,Squirrel Hill,1,1,-79.924132,40.428615,1275,770,https://pittsburgh.craigslist.org/apa/d/pittsburgh-short-term-lease-available/7026238616.html,2.192606255,Apartment
5562 Hobart Street near Wightman Street,Squirrel Hill,1,1,-79.92838,40.43202,1110,760,https://pittsburgh.craigslist.org/apa/d/pittsburgh-schenley-park-ac-hw-floors/7018533473.html,1.713656883,Apartment
5562 Hobart Street near Wightman Street,Squirrel Hill,1,1,-79.928541,40.432224,1175,924,https://pittsburgh.craigslist.org/apa/d/pittsburgh-available-january-4-shopping/7018576421.html,1.695317782,Apartment
5562 Hobart Street near Wightman Street,Squirrel Hill,2,1,-79.928552,40.432339,1535,1082,https://pittsburgh.craigslist.org/apa/d/pittsburgh-sun-parlor-hdwd-floors-heat/7028184208.html,1.693814637,Apartment
2715 Murray Avenue near Forward Avenue,Squirrel Hill,1,1,-79.924636,40.428125,930,660,https://pittsburgh.craigslist.org/apa/d/pittsburgh-heat-incld-ac-hardwood/7020548925.html,2.138128738,Apartment
2715 Murray Avenue near Forward Avenue,Squirrel Hill,1,1,-79.924327,40.428441,930,660,https://pittsburgh.craigslist.org/apa/d/pittsburgh-avail-march-1-pet-friendly/7022319917.html,2.171472129,Apartment
2715 Murray Avenue near Forward Avenue,Squirrel Hill,1,1,-79.924754,40.42801,905,500,https://pittsburgh.craigslist.org/apa/d/pittsburgh-separate-kitchen-pet/7022446510.html,2.125394584,Apartment
2715 Murray Avenue near Forward Avenue,Squirrel Hill,1,1,-79.924861,40.428084,905,500,https://pittsburgh.craigslist.org/apa/d/pittsburgh-heat-included-avail-february/7024378327.html,2.113362365,Apartment
2715 Murray Avenue near Forward Avenue,Squirrel Hill,1,1,-79.924271,40.428468,870,490,https://pittsburgh.craigslist.org/apa/d/pittsburgh-heat-incld-ac-shopping/7024422969.html,2.177599154,Apartment
2715 Murray Avenue near Forward Avenue,Squirrel Hill,1,1,-79.92396,40.428745,905,550,https://pittsburgh.craigslist.org/apa/d/pittsburgh-heat-incld-ac-hardwood/7024525436.html,2.21132109,Apartment
2325 - 2327 Eldridge Street - 6,Squirrel Hill,1,1,-79.9205,40.4308,1045,447,https://pittsburgh.craigslist.org/apa/d/pittsburgh-stainless-steel-appliances/7014941240.html,2.59085383,Apartment
2715 Murray Avenue near Forward Avenue,Squirrel Hill,1,1,-79.924014,40.428705,980,660,https://pittsburgh.craigslist.org/apa/d/pittsburgh-heat-included-available/7024331970.html,2.205442228,Apartment
2715 Murray Avenue near Forward Avenue,Squirrel Hill,1,1,-79.924078,40.428615,980,660,https://pittsburgh.craigslist.org/apa/d/pittsburgh-available-january-4-heat/7018487456.html,2.198584352,Apartment
2715 Murray Avenue near Forward Avenue,Squirrel Hill,1,1,-79.924443,40.428313,1075,770,https://pittsburgh.craigslist.org/apa/d/pittsburgh-heat-incld-shopping-nearby/7018487742.html,2.158973319,Apartment
2715 Murray Avenue near Forward Avenue,Squirrel Hill,1,1,-79.92426,40.428598,1000,770,https://pittsburgh.craigslist.org/apa/d/pittsburgh-available-january-4-pet/7018491974.html,2.178480777,Apartment
5562 Hobart Street near Wightman Street,Squirrel Hill,1,1,-79.92853,40.432118,1070,716,https://pittsburgh.craigslist.org/apa/d/pittsburgh-schenley-park-ac-hw-floors/7018532965.html,1.696800856,Apartment
5562 Hobart Street near Wightman Street,Squirrel Hill,1,1,-79.928627,40.432192,1195,844,https://pittsburgh.craigslist.org/apa/d/pittsburgh-available-march-1-short-term/7018534156.html,1.685873966,Apartment
5562 Hobart Street near Wightman Street,Squirrel Hill,1,1,-79.928616,40.43211,1090,742,https://pittsburgh.craigslist.org/apa/d/pittsburgh-available-january-4-schenley/7020459772.html,1.687298427,Apartment
2715 Murray Avenue near Forward Avenue,Squirrel Hill,1,1,-79.92425,40.428623,950,570,https://pittsburgh.craigslist.org/apa/d/pittsburgh-available-january-4-shopping/7020496994.html,2.179523461,Apartment
2715 Murray Avenue near Forward Avenue,Squirrel Hill,1,1,-79.924057,40.428786,1075,770,https://pittsburgh.craigslist.org/apa/d/pittsburgh-available-february-1-ac-heat/7026203892.html,2.200476974,Apartment
2715 Murray Avenue near Forward Avenue,Squirrel Hill,1,1,-79.924872,40.428076,905,500,https://pittsburgh.craigslist.org/apa/d/pittsburgh-heat-incld-avail-january-4/7016679857.html,2.112168251,Apartment
2715 Murray Avenue near Forward Avenue,Squirrel Hill,1,1,-79.924797,40.428141,1150,770,https://pittsburgh.craigslist.org/apa/d/pittsburgh-short-term-lease-available/7018487154.html,2.120282451,Apartment
5562 Hobart Street near Wightman Street,Squirrel Hill,2,1,-79.928606,40.431988,1420,1070,https://pittsburgh.craigslist.org/apa/d/pittsburgh-shopping-nearby-avail/7018489062.html,1.688715263,Apartment
2715 Murray Avenue near Forward Avenue,Squirrel Hill,1,1,-79.924014,40.428696,930,660,https://pittsburgh.craigslist.org/apa/d/pittsburgh-heat-incld-ac-hardwood/7018531533.html,2.20546493,Apartment
2715 Murray Avenue near Forward Avenue,Squirrel Hill,1,1,-79.924668,40.428133,970,570,https://pittsburgh.craigslist.org/apa/d/pittsburgh-short-term-lease-hdwd-floors/7018572640.html,2.13456842,Apartment
